"","Year","Month","Burned_Area_km2"
"176",2011,"Aug",44.75632
"177",2011,"Sep",66.16853
"178",2011,"Oct",3.541866
"179",2011,"Nov",36.92129
"180",2011,"Dec",0
"181",2012,"Jan",5.151807
"182",2012,"Feb",13.68449
"183",2012,"Mar",159.0621
"184",2012,"Apr",434.7911
"185",2012,"May",298.2682
"186",2012,"Jun",23.93443
"187",2012,"Jul",2.575901
"188",2012,"Aug",88.27837
"189",2012,"Sep",194.1588
"190",2012,"Oct",781.0892
"191",2012,"Nov",218.5225
"192",2012,"Dec",104.0558
"193",2013,"Jan",1533.683
"194",2013,"Feb",463.0724
"195",2013,"Mar",197.2177
"196",2013,"Apr",446.49
"197",2013,"May",332.7209
"198",2013,"Jun",75.98917
"199",2013,"Jul",4.561495
"200",2013,"Aug",84.7365
"201",2013,"Sep",129.5465
"202",2013,"Oct",1159.532
"203",2013,"Nov",868.8846
"204",2013,"Dec",220.6154
"205",2014,"Jan",982.2244
"206",2014,"Feb",1579.834
"207",2014,"Mar",361.0022
"208",2014,"Apr",908.1134
"209",2014,"May",147.4705
"210",2014,"Jun",11.10858
"211",2014,"Jul",3.4882
"212",2014,"Aug",114.3057
"213",2014,"Sep",0.536646
"214",2014,"Oct",90.31762
"215",2014,"Nov",175.0541
"216",2014,"Dec",128.5269
"217",2015,"Jan",9.33765
"218",2015,"Feb",10.89392
"219",2015,"Mar",817.0446
"220",2015,"Apr",523.8208
"221",2015,"May",195.9833
"222",2015,"Jun",17.97766
"223",2015,"Jul",0
"224",2015,"Aug",8.532681
"225",2015,"Sep",1.180621
"226",2015,"Oct",21.84152
"227",2015,"Nov",70.94469
"228",2015,"Dec",130.9955
"229",2016,"Jan",102.0702
"230",2016,"Feb",23.88078
"231",2016,"Mar",230.9727
"232",2016,"Apr",1195.434
"233",2016,"May",795.7396
"234",2016,"Jun",42.44874
"235",2016,"Jul",6.010442
"236",2016,"Aug",4.078514
"237",2016,"Sep",0.697639
"238",2016,"Oct",93.59117
"239",2016,"Nov",242.9399
"240",2016,"Dec",67.72481
"241",2017,"Jan",106.9
"242",2017,"Feb",721.3068
"243",2017,"Mar",229.6848
"244",2017,"Apr",1117.728
"245",2017,"May",797.0276
"246",2017,"Jun",91.82024
"247",2017,"Jul",4.024847
"248",2017,"Aug",89.35167
"249",2017,"Sep",242.1886
"250",2017,"Oct",25.86637
"251",2017,"Nov",5.527459
"252",2017,"Dec",180.9036
"253",2018,"Jan",832.0707
"254",2018,"Feb",247.8234
"255",2018,"Mar",210.4191
"256",2018,"Apr",487.0605
"257",2018,"May",340.8242
"258",2018,"Jun",57.36752
"259",2018,"Jul",13.95281
"260",2018,"Aug",237.1442
"261",2018,"Sep",26.08102
"262",2018,"Oct",33.21843
"263",2018,"Nov",39.65818
"264",2018,"Dec",58.76281
