"","Year","Month","FWI"
"177",2011,"Sep",26.66897
"178",2011,"Oct",19.72659
"179",2011,"Nov",16.05608
"180",2011,"Dec",9.921959
"181",2012,"Jan",22.13959
"182",2012,"Feb",11.52634
"183",2012,"Mar",9.502991
"184",2012,"Apr",14.40142
"185",2012,"May",16.45031
"186",2012,"Jun",6.087038
"187",2012,"Jul",5.617912
"188",2012,"Aug",16.81094
"189",2012,"Sep",29.71939
"190",2012,"Oct",32.62954
"191",2012,"Nov",32.70102
"192",2012,"Dec",31.92829
"193",2013,"Jan",58.23539
"194",2013,"Feb",24.55194
"195",2013,"Mar",18.93312
"196",2013,"Apr",23.08233
"197",2013,"May",24.21376
"198",2013,"Jun",7.031379
"199",2013,"Jul",6.514109
"200",2013,"Aug",16.10465
"201",2013,"Sep",30.90156
"202",2013,"Oct",42.75601
"203",2013,"Nov",48.78574
"204",2013,"Dec",42.71461
"205",2014,"Jan",45.26046
"206",2014,"Feb",48.25879
"207",2014,"Mar",15.69988
"208",2014,"Apr",14.17857
"209",2014,"May",15.9744
"210",2014,"Jun",9.974141
"211",2014,"Jul",15.72397
"212",2014,"Aug",15.14231
"213",2014,"Sep",22.33512
"214",2014,"Oct",38.69923
"215",2014,"Nov",43.58469
"216",2014,"Dec",30.8413
"217",2015,"Jan",21.07457
"218",2015,"Feb",24.90006
"219",2015,"Mar",34.49497
"220",2015,"Apr",18.01508
"221",2015,"May",11.85733
"222",2015,"Jun",6.427806
"223",2015,"Jul",6.070745
"224",2015,"Aug",10.32542
"225",2015,"Sep",14.89057
"226",2015,"Oct",37.59966
"227",2015,"Nov",36.06856
"228",2015,"Dec",46.21125
"229",2016,"Jan",29.1662
"230",2016,"Feb",36.7405
"231",2016,"Mar",31.35363
"232",2016,"Apr",32.35293
"233",2016,"May",17.66778
"234",2016,"Jun",5.218947
"235",2016,"Jul",5.529333
"236",2016,"Aug",11.20512
"237",2016,"Sep",5.374255
"238",2016,"Oct",17.44738
"239",2016,"Nov",29.13415
"240",2016,"Dec",36.04224
"241",2017,"Jan",41.58016
"242",2017,"Feb",47.09647
"243",2017,"Mar",30.65752
"244",2017,"Apr",12.67057
"245",2017,"May",10.87892
"246",2017,"Jun",8.306273
"247",2017,"Jul",18.93153
"248",2017,"Aug",21.85442
"249",2017,"Sep",45.91938
"250",2017,"Oct",20.96652
"251",2017,"Nov",20.41777
"252",2017,"Dec",33.93122
"253",2018,"Jan",41.44555
"254",2018,"Feb",54.99144
"255",2018,"Mar",46.92795
"256",2018,"Apr",40.97724
"257",2018,"May",24.94326
"258",2018,"Jun",14.33052
"259",2018,"Jul",18.99661
"260",2018,"Aug",26.02344
"261",2018,"Sep",30.20613
"262",2018,"Oct",21.68661
"263",2018,"Nov",41.77991
"264",2018,"Dec",33.29596
